,AAPL,GOLD,GOOG
30-12-2011,401.44,101.57,645.90
29-12-2011,401.55,100.70,642.40
28-12-2011,399.10,99.99,639.70
27-12-2011,402.95,101.85,640.25
23-12-2011,399.78,103.85,633.14
22-12-2011,395.04,103.21,629.70
21-12-2011,392.96,104.10,625.82
20-12-2011,392.46,104.58,630.37
19-12-2011,378.85,100.10,621.83
16-12-2011,377.67,101.28,625.96
15-12-2011,375.60,97.70,619.54
14-12-2011,376.84,99.06,618.07
13-12-2011,385.39,102.00,625.63
12-12-2011,388.39,104.93,625.39
09-12-2011,390.16,107.95,627.42
08-12-2011,387.22,106.10,616.05
07-12-2011,385.67,108.24,623.39
06-12-2011,387.51,105.83,623.77
05-12-2011,389.55,103.84,625.65
02-12-2011,386.27,103.72,620.36
01-12-2011,384.52,106.28,613.77
30-11-2011,378.84,106.36,599.39
29-11-2011,369.91,103.97,582.93
28-11-2011,372.81,96.96,588.19
25-11-2011,360.37,103.35,563.00
23-11-2011,363.76,105.38,570.11
22-11-2011,373.20,108.48,580.00
21-11-2011,365.76,106.49,580.94
18-11-2011,371.64,110.44,594.88
17-11-2011,374.09,113.60,600.87
16-11-2011,381.38,117.36,611.47
15-11-2011,385.41,118.83,616.56
14-11-2011,375.92,116.50,613.00
11-11-2011,381.23,118.68,608.35
10-11-2011,381.83,114.48,595.08
09-11-2011,391.80,115.86,600.95
08-11-2011,402.65,117.96,612.34
07-11-2011,396.21,118.80,608.33
04-11-2011,396.72,118.05,596.14
03-11-2011,399.52,118.13,597.50
02-11-2011,393.91,113.13,584.82
01-11-2011,393.02,109.71,578.65
31-10-2011,401.22,109.01,592.64
28-10-2011,401.39,111.56,600.14
27-10-2011,401.13,110.15,598.67
26-10-2011,397.07,110.47,586.31
25-10-2011,394.27,109.04,583.16
24-10-2011,402.20,103.77,596.42
21-10-2011,389.41,99.52,590.49
20-10-2011,391.83,98.51,583.67
19-10-2011,395.11,98.39,580.70
18-10-2011,418.52,101.21,590.51
17-10-2011,416.29,100.14,582.41
14-10-2011,418.29,102.75,591.68
13-10-2011,404.83,100.34,558.99
12-10-2011,398.65,102.68,548.50
11-10-2011,396.77,101.47,543.18
10-10-2011,385.39,100.85,537.17
07-10-2011,366.54,97.21,515.12
06-10-2011,374.05,98.44,514.71
05-10-2011,374.92,96.60,504.70
04-10-2011,369.22,92.13,501.90
03-10-2011,371.30,98.34,495.52
30-09-2011,377.96,96.22,515.04
29-09-2011,387.13,94.68,527.50
28-09-2011,393.52,94.72,528.84
27-09-2011,395.75,98.58,539.34
26-09-2011,399.62,97.34,531.89
23-09-2011,400.74,95.92,525.51
22-09-2011,398.28,102.41,520.66
21-09-2011,408.51,109.64,539.20
20-09-2011,409.81,112.87,546.63
19-09-2011,408.01,109.55,546.67
16-09-2011,396.97,108.28,546.68
15-09-2011,389.50,106.41,542.56
14-09-2011,385.87,108.04,532.07
13-09-2011,381.23,110.66,529.52
12-09-2011,376.60,108.00,530.12
09-09-2011,374.16,111.13,524.85
08-09-2011,380.76,111.88,534.96
07-09-2011,380.55,108.32,534.03
06-09-2011,376.40,108.62,522.18
02-09-2011,370.76,107.44,524.84
01-09-2011,377.68,103.06,532.50
31-08-2011,381.44,105.01,540.96
30-08-2011,386.56,104.63,540.70
29-08-2011,386.54,103.19,539.08
26-08-2011,380.20,105.81,526.86
25-08-2011,370.43,103.73,520.04
24-08-2011,372.87,104.29,523.29
23-08-2011,370.31,106.31,518.82
22-08-2011,353.30,113.15,498.17
19-08-2011,352.90,109.42,490.92
18-08-2011,362.83,103.66,504.88
17-08-2011,377.09,105.46,533.15
16-08-2011,377.13,104.68,539.00
15-08-2011,380.04,102.43,557.23
12-08-2011,373.67,100.23,563.77
11-08-2011,370.41,100.28,562.13
10-08-2011,360.49,103.36,549.01
09-08-2011,370.72,100.27,573.41
08-08-2011,350.10,97.92,546.02
05-08-2011,370.33,93.99,579.04
04-08-2011,374.05,93.12,577.52
03-08-2011,389.11,90.26,601.17
02-08-2011,385.49,90.51,592.40
01-08-2011,393.26,89.51,606.77
29-07-2011,387.04,90.34,603.69
28-07-2011,388.37,90.77,610.94
27-07-2011,389.13,90.59,607.22
26-07-2011,399.86,91.45,622.52
25-07-2011,394.99,90.30,618.98
22-07-2011,389.84,90.16,618.23
21-07-2011,383.88,89.84,606.99
20-07-2011,383.49,88.77,595.35
19-07-2011,373.53,87.88,602.55
18-07-2011,370.51,88.70,594.94
15-07-2011,361.71,87.55,597.62
14-07-2011,354.62,86.81,528.94
13-07-2011,354.87,86.56,538.26
12-07-2011,350.64,83.44,534.01
11-07-2011,350.88,82.96,527.28
08-07-2011,356.54,83.33,531.99
07-07-2011,354.06,83.68,546.60
06-07-2011,348.66,82.53,535.36
05-07-2011,346.35,82.66,532.44
01-07-2011,340.24,82.26,521.03
30-06-2011,332.72,83.62,506.38
29-06-2011,331.10,82.91,497.57
28-06-2011,332.31,80.86,493.65
27-06-2011,329.12,79.20,482.80
24-06-2011,323.48,78.26,474.88
23-06-2011,328.31,79.62,480.22
22-06-2011,319.77,79.23,487.01
21-06-2011,322.44,77.75,493.00
20-06-2011,312.54,74.66,484.58
17-06-2011,317.44,74.74,485.02
16-06-2011,322.30,74.01,500.37
15-06-2011,323.87,75.60,502.95
14-06-2011,329.51,77.36,508.37
13-06-2011,323.73,76.14,504.73
10-06-2011,323.03,77.61,509.51
09-06-2011,328.57,79.67,516.73
08-06-2011,329.32,76.64,519.17
07-06-2011,329.12,79.90,519.03
06-06-2011,335.06,79.31,521.06
03-06-2011,340.42,80.58,523.08
02-06-2011,343.05,80.40,528.06
01-06-2011,342.47,80.21,525.60
31-05-2011,344.77,81.54,529.02
27-05-2011,334.44,80.76,520.90
26-05-2011,332.05,79.16,518.13
25-05-2011,333.82,78.51,519.67
24-05-2011,329.27,78.03,518.26
23-05-2011,331.46,75.94,518.39
20-05-2011,332.27,77.44,524.03
19-05-2011,337.53,76.61,531.25
18-05-2011,336.88,77.38,529.81
17-05-2011,333.18,76.33,530.46
16-05-2011,330.37,75.02,518.42
