#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
AL Autauga	94800	18518	10.9	43671	2.8	10.2	12494	51.4	78.7	18	864	28.6	73.2	104785
AL Baldwin	122500	20826	10.1	140415	3.8	15.5	34320	51	82	23.1	2367	24.4	75.9	165565
AL Barbour	68600	13316	26.8	29038	-0.3	13.3	7383	48.4	64.7	10.9	651	25.4	73.1	153775
AL Bibb	74600	14105	20.6	20826	1.4	11.6	5286	48.4	63.2	7.1	495	25.4	72.9	46903
AL Blount	86800	16325	11.7	51024	2.4	12.9	12948	50.1	70.4	9.6	675	25.4	75.2	138509
AL Bullock	56600	10163	33.5	11714	-1.8	13.2	3058	47.6	60.5	7.7	449	26.1	70.6	168715
AL Butler	57700	15715	24.6	21399	-1.2	16.4	5754	53.2	67.8	10.4	1360	26.9	72.2	97298
AL Calhoun	71600	17367	16.1	112249	-0.8	14.1	26456	52.2	73.9	15.2	2795	23.6	73.1	77429
AL Chambers	58900	15147	17	36583	-0.3	16.2	9017	52.8	64.2	9.5	782	24.6	72.1	94277
AL Cherokee	76100	15543	15.6	23988	0.7	15.9	5320	50.8	63.5	9.7	505	22.2	73.2	123122
AL Chilton	81800	15303	15.7	39593	1	12.9	10165	50.5	66.2	9.9	715	25.7	73.9	98746
AL Choctaw	60500	14635	24.5	15922	-1.3	14.6	4148	53	65	9.6	537	26.1	72.5	65027
AL Clarke	67900	14581	22.6	27867	-0.3	13.5	7811	52.7	70.8	12.1	1179	28	72.1	61436
AL Clay	62200	13785	17.1	14254	0.2	16.5	3397	51.2	66	7.8	363	23.8	72.9	75249
AL Cleburne	71300	14762	13.9	14123	1.2	13.7	3435	50.2	62.9	9.2	313	24.3	73.2	50782
AL Coffee	76600	18321	14.7	43615	-0.6	14.1	10806	51.2	73.2	19.3	1036	24.8	75.3	186981
AL Colbert	72300	17533	14	54984	0.2	15.4	13077	52.1	73.3	14.1	1831	23.8	74.1	115542
AL Conecuh	58600	12964	26.6	14089	-1.8	15.8	3648	52.7	67.7	9.2	555	25.9	72.2	88276
AL Coosa	59500	14875	14.9	12202	-0.5	14.4	2891	48.9	65.7	8	295	23.7	72.9	41716
AL Covington	56700	15365	18.4	37631	-1.4	17.9	8860	52.2	68.4	12.2	1408	23.5	73.9	180056
AL Crenshaw	51300	14565	22.1	13665	0.4	17.1	3372	52.7	60.1	11.2	600	24.7	73.2	129460
AL Cullman	85000	16922	13	77483	0.5	14.6	18790	50.7	70.4	11.9	1567	24.3	75.1	202861
AL Dale	69000	16010	15.1	49129	-0.3	11.8	13047	50.4	77.8	14	1039	26.6	75.1	130975
AL Dallas	64100	13638	31.1	46365	-0.7	13.9	13253	54.5	70.3	13.9	2167	28.6	71.4	248674
AL DeKalb	67200	15818	15.4	64452	1.6	13.8	15899	51.1	63.8	8.3	1274	24.7	74.1	223685
AL Elmore	98000	17650	10.2	65874	2.4	10.7	16924	49.4	77.6	16.6	1027	25.7	73.8	124260
AL Escambia	66700	14396	20.9	38440	-0.7	13.6	9270	49.3	68.5	10.6	1057	24.1	72.7	87056
AL Etowah	71200	16783	15.7	103459	-0.4	16	24654	52.1	74.1	13.4	3466	23.8	73	94970
AL Fayette	64100	14439	17.3	18495	-0.9	16.1	4424	51.7	66.1	9.2	776	23.9	74.1	62974
AL Franklin	62800	14814	18.9	31223	-1	14.9	7645	50.9	62.1	9.7	1241	24.5	72.9	128437
AL Geneva	55900	14620	19.6	25764	-1.3	16.3	6183	51.4	65.6	8.7	805	24	74.1	206615
AL Greene	57000	13686	34.3	9974	-0.5	14.7	2911	53.1	64.8	10.5	385	29.2	71.8	123243
AL Hale	66300	12661	26.9	17185	0.4	13.5	5087	52.8	65.2	8.1	532	29.6	71.8	157743
AL Henry	69100	15681	19.1	16310	-0.1	16.4	3925	52.5	66.7	14.1	338	24.1	73.1	153529
AL Houston	82000	18759	15	88787	0.5	13.7	22986	52.5	76.5	18.4	1697	25.9	74.9	198215
AL Jackson	72400	16000	13.7	53926	0.4	13.4	13036	51.3	67	10.4	1707	24.2	72.9	221166
AL Jefferson	90700	20892	14.8	662047	-0.3	13.6	164240	52.9	80.9	24.6	11517	24.8	72.9	41333
AL Lamar	55200	14435	16.1	15904	-2	15.9	3750	51.7	65.1	7.8	686	23.6	74.1	71351
AL Lauderdale	85000	18626	14.4	87966	-0.6	15.1	20267	52.2	76.4	18.5	2615	23	75.5	211586
AL Lawrence	75000	16515	15.3	34803	0.4	12.1	8940	51	65.6	7.5	995	25.7	74	204970
AL Lee	104100	17158	21.8	115092	1.3	8.1	26802	50.8	81.4	27.9	1736	23.3	74.3	75786
AL Limestone	86400	17782	12.3	65676	2	11.1	16341	49.2	74.5	16.9	1065	24.9	75	253889
AL Lowndes	55500	12457	31.4	13473	-0.4	12.2	4068	53.2	64.3	11	526	30.2	71.5	173049
AL Macon	64200	13714	32.8	24105	-0.4	14	6081	54.1	70	18.8	652	25.2	70.6	127334
AL Madison	103300	23091	10.5	276700	1.9	10.8	70787	51.2	85.4	34.3	4689	25.6	75.4	210455
AL Marengo	65900	15308	25.9	22539	-0.8	14.6	6422	53.1	71.9	12.1	586	28.5	72.8	198422
AL Marion	63500	15321	15.6	31214	-1.9	15.8	7038	50.5	63.2	8	1298	22.5	74.7	98078
AL Marshall	80900	17089	14.7	82231	0.1	14.2	20437	51.3	69.4	13.9	2490	24.9	73.5	146129
AL Mobile	80500	17178	18.5	399843	0	12	109881	52.2	76.7	18.6	10204	27.5	73.2	121320
AL Monroe	66900	14862	21.3	24324	-0.6	13.8	6883	52.4	67.9	11.8	1158	28.3	73.5	134551
AL Montgomery	87700	19358	17.3	223510	-0.7	11.8	57646	52.4	80.3	28.5	4209	25.8	73.3	240951
AL Morgan	88600	19223	12.3	111064	0.3	12.3	28144	51	76.3	18.4	2437	25.3	74.7	158711
AL Perry	47600	10948	35.4	11861	-1.6	14.9	3537	54.4	62.4	10	429	29.8	72.9	144648
AL Pickens	66000	13746	24.9	20949	-0.2	15.7	5711	53.2	69.7	9.8	903	27.3	73.7	123132
AL Pike	71400	14904	23.1	29605	-1.1	12.6	7211	52.8	69.1	18.4	748	24.4	73.2	173522
AL Randolph	63800	14147	17	22380	0.7	15.9	5620	51.7	61.9	10	561	25.1	72.9	108122
AL Russell	71500	14015	19.9	49756	-0.2	13.1	13194	52.4	66.5	9.7	1254	26.5	70.8	96088
AL St.Clair	99800	17960	12.1	64742	2.6	11.7	16417	49.6	71.3	11.1	1097	25.4	74.4	76849
AL Shelby	146700	27176	6.3	143293	4.5	8.5	37620	51	86.8	36.8	1381	26.3	75.4	68421
AL Sumter	54000	11491	38.7	14798	-2.1	13.9	4305	54.1	64.8	12.4	601	29.1	73.7	174769
AL Talladega	72200	15704	17.6	80321	0.1	13.3	20066	51.1	69.7	11.2	2082	25	72.7	109560
AL Tallapoosa	73600	16909	16.6	41475	-0.9	16.6	10037	52.5	70.1	14.1	1043	24.2	72.4	78232
AL Tuscaloosa	106600	18998	17	164875	0.1	11.3	38543	51.9	78.8	24	2492	23.4	75	99827
AL Walker	66700	15546	16.5	70713	0	14.8	16636	51.8	67.2	9.1	1802	23.5	72.8	54950
AL Washington	63000	14081	18.5	18097	-1.3	12.4	5189	51	72.3	8.6	729	28.7	72.5	87143
AL Wilcox	52200	10903	39.9	13183	-0.4	13.7	4041	53.4	59.5	10.1	546	30.7	71.5	154065
AL Winston	60800	15738	17.1	24843	-0.8	14.2	5888	51	62.6	8.3	791	23.7	73.9	59090
AK AleutiansEast	99500	18421	21.8	2697	-3.7	2.6	454	35.1	74.7	4.9	55	16.8		
AK AleutiansWest	93400	24037	11.9	5465	-1.3	2.3	939	35.7	78.5	11	134	17.2		664907
AK Anchorage 	160700	25287	7.3	260283	1.8	5.5	75871	49.4	90.3	28.9	6360	29.1		40294
AK Bethel 	74900	12603	20.6	16006	1.7	5.2	6377	46.9	71	13.1	528	39.8		
AK BristolBay 	139000	22210	9.5	1258	-4.9	3.8	394	45.5	88.9	21.1	46	31.3		
AK Denali	103400	26251	7.9	1893	1.1	3.1	450	41.8	91.7	22.7	96	23.8		
AK Dillingham 	105300	16021	21.4	4922	0.3	5.7	1877	47.8	76.6	16.4	130	38.1		
AK Fairbanks North Star	132700	21553	7.8	82840	1	4.6	24919	47.8	91.8	27	2572	30.1		118836
AK Haines 	133100	22090	10.7	2392	-2.5	10.5	613	49.4	88.9	23.8	133	25.6		
AK Juneau 	195100	26719	6	30711	-0.5	6.1	8417	49.6	93.2	36	844	27.4		534
AK Kenai Peninsula 	118000	20949	10	49691	1.7	7.3	14859	48	88.5	20.3	2378	29.9		56474
AK Ketchikan Gateway 	165000	23994	6.5	14070	-2	7.9	3964	48.9	89.6	20.2	537	28.2		
AK Kodiak Island 	155100	22195	6.6	13913	0	4.8	4514	47.1	85.4	18.7	484	32.4		
AK Lake and Peninsula	87400	15361	18.9	1823	-8.1	5.4	689	46.8	72.2	12.4	45	37.8		
AK Matanuska-Susitna 	125800	21105	11	59322	5.2	5.9	19110	48	88.1	18.3	2406	32.2		
AK Nome 	77100	15476	17.4	9196	0.5	5.9	3416	46	74.8	14.7	359	37.1		
AK North Slope 	113300	20540	9.1	7385	-1.6	4.2	2819	47.1	77.4	17	242	38.2		
AK Northwest Arctic 	89200	15286	17.4	7208	1.9	5	2990	46.6	72	12.7	276	41.5		
AK Prince of Wales-	121800	18395	12.1	6146	-4.6	5.7	1903	45.5	84.1	14.2	425	31		
AK Sitka 	196500	23622	7.8	8835	-1.3	8.4	2399	49	90.6	29.5	224	27.2		
AK Southeast Fairbanks	86000	16679	18.9	6174	-7.6	6.1	2024	48.3	86.8	18.2	257	32.8		
AK Valdez-Cordova	141300	23046	9.8	10195	0.1	6	3019	46.8	88.5	21.2	450	29.6		
AK Wade Hampton 	38700	8717	26.2	7028	0.7	5	3274	47.8	66.3	9.1	314	46.6		
AK Wrangell-Petersburg	156100	23494	7.9	6684	-1	9.5	1985	48	85.8	16.3	310	29.7		
AK Yukon-Koyukuk 	59900	13720	23.8	6551	-1.8	7.3	2294	45.7	74.3	14.2	290	35		
AZ Apache	41700	8986	37.8	69423	-1.2	8.3	26731	50.4	63.6	11.3	3049	38.5	73.5	
